name,enname,location,lat,lon
ケサランパサラン,,日本岩手県,39.703619,141.152684
ネッシー,,スコットランド_ネス湖,57.322858,-4.424382
狼男,,ヨーロッパ/陸,54.525961,15.255119
チュパカブラ,,プエルトリコ−南米/森・林,57.211389,-132.249167
ヨーウィ,,オーストラリア大陸/シドニー湾,35.278848,134.939308
ビッグフット,,アメリカ/カナダ/山,45.943161,24.96676
モケーレ・ムベンベ,,アフリカ大陸/熱帯雨林湖沼,23.416203,25.66283
河童,,日本/水辺,1.957709,37.297204
ヴァンパイア,,ルーマニア,-0.789275,113.921327
ツチノコ,,日本/北海道・南西諸島除く,43.585181,45
Adjule,Adjule,North Africa,32.165622,-82.900075
Agogwe,Agogwe,East Africa,9.824592,122.908238
Ahool,Ahool,Indonesia,37.878492,-77.363694
Akkorokamui,Akkorokamui,Japan and Thailand,12.879721,121.774017
Almas,Almas,Asia/Caucasus,-8.783195,34.508523
Altamaha-ha,Altamaha-ha,"Georgia, United States",35.126413,33.429859
Ameranthropoides loysi,Ameranthropoides loysi,"Near the Tarra River, Colombia",29.298528,42.55096
Amomongo,Amomongo,"Negros Island, Philippines",50.822674,-0.140232
Andean Wolf,Andean Wolf,"High Andes, South America",37.964253,-91.831833
Appalachian Black Panther[1],Appalachian Black Panther[1],"West Virginia, Kentucky, Pennsylvania, New York,Alabama, Ohio, New England, North Carolina, New Jersey, Tennessee, and Virginia, United States",40.906342,-112.870078
Aswang,Aswang,Philippines,35.75957,-79.0193
Atti,Atti,Africa,50.50363,-4.6525
Ayia Napa sea monster,Ayia Napa sea monster,Cyprus,43.78444,-88.7879
Barmanou,Barmanou,Middle East/Asia,41.2306,-85.3194
Batutut,Batutut,"Vietnam, Laos, and Borneo",50.57202,-3.92112
Beaman,Beaman,"Missouri, United States",52.35552,-1.17432
Bear Lake Monster,Bear Lake Monster,Idaho/Utah (United States),52.35552,-1.17432
Beast of Bladenboro,Beast of Bladenboro,"North Carolina, United States",44.60638,3.282644
Beast of Bodmin,Beast of Bodmin,"Cornwall, England",56,160
Beast of Bray Road,Beast of Bray Road,Wisconsin (United States),42.06689,-81.3399
Beast of Busco,Beast of Busco,"Churubusco, Indiana, United States",45.42481,-75.6961
Beast of Dartmoor,Beast of Dartmoor,"Dartmoor National Park, England",,
Beast of Dean,Beast of Dean,England,54.35833,-2.93611
